  0,     0, 
  1, 0.0166016, 
  2, 0.0341797, 
  3, 0.0517578, 
  4, 0.0693359, 
  5, 0.0869141, 
  6, 0.104492, 
  7, 0.121094, 
  8, 0.138672, 
  9, 0.15625, 
 10, 0.172852, 
 11, 0.19043, 
 12, 0.207031, 
 13, 0.224609, 
 14, 0.241211, 
 15, 0.258789, 
 16, 0.275391, 
 17, 0.291992, 
 18, 0.308594, 
 19, 0.325195, 
 20, 0.341797, 
 21, 0.357422, 
 22, 0.374023, 
 23, 0.390625, 
 24, 0.40625, 
 25, 0.421875, 
 26, 0.4375, 
 27, 0.453125, 
 28, 0.46875, 
 29, 0.484375, 
 30,   0.5, 
 31, 0.514648, 
 32, 0.529297, 
 33, 0.543945, 
 34, 0.558594, 
 35, 0.573242, 
 36, 0.586914, 
 37, 0.601562, 
 38, 0.615234, 
 39, 0.628906, 
 40, 0.642578, 
 41, 0.655273, 
 42, 0.668945, 
 43, 0.681641, 
 44, 0.694336, 
 45, 0.707031, 
 46, 0.71875, 
 47, 0.730469, 
 48, 0.742188, 
 49, 0.753906, 
 50, 0.765625, 
 51, 0.776367, 
 52, 0.787109, 
 53, 0.797852, 
 54, 0.808594, 
 55, 0.818359, 
 56, 0.828125, 
 57, 0.837891, 
 58, 0.847656, 
 59, 0.856445, 
 60, 0.865234, 
 61, 0.874023, 
 62, 0.882812, 
 63, 0.890625, 
 64, 0.898438, 
 65, 0.90625, 
 66, 0.913086, 
 67, 0.919922, 
 68, 0.926758, 
 69, 0.932617, 
 70, 0.939453, 
 71, 0.945312, 
 72, 0.950195, 
 73, 0.956055, 
 74, 0.960938, 
 75, 0.96582, 
 76, 0.969727, 
 77, 0.973633, 
 78, 0.977539, 
 79, 0.981445, 
 80, 0.984375, 
 81, 0.987305, 
 82, 0.990234, 
 83, 0.992188, 
 84, 0.994141, 
 85, 0.996094, 
 86, 0.99707, 
 87, 0.998047, 
 88, 0.999023, 
 89, 0.999023, 
 90,     1, 
 91, 0.999023, 
 92, 0.999023, 
 93, 0.998047, 
 94, 0.99707, 
 95, 0.996094, 
 96, 0.994141, 
 97, 0.992188, 
 98, 0.990234, 
 99, 0.987305, 
100, 0.984375, 
101, 0.981445, 
102, 0.977539, 
103, 0.973633, 
104, 0.969727, 
105, 0.96582, 
106, 0.960938, 
107, 0.956055, 
108, 0.950195, 
109, 0.945312, 
110, 0.939453, 
111, 0.932617, 
112, 0.926758, 
113, 0.919922, 
114, 0.913086, 
115, 0.90625, 
116, 0.898438, 
117, 0.890625, 
118, 0.882812, 
119, 0.874023, 
120, 0.865234, 
121, 0.856445, 
122, 0.847656, 
123, 0.837891, 
124, 0.828125, 
125, 0.818359, 
126, 0.808594, 
127, 0.797852, 
128, 0.787109, 
129, 0.776367, 
130, 0.765625, 
131, 0.753906, 
132, 0.742188, 
133, 0.730469, 
134, 0.71875, 
135, 0.707031, 
136, 0.694336, 
137, 0.681641, 
138, 0.668945, 
139, 0.655273, 
140, 0.642578, 
141, 0.628906, 
142, 0.615234, 
143, 0.601562, 
144, 0.586914, 
145, 0.573242, 
146, 0.558594, 
147, 0.543945, 
148, 0.529297, 
149, 0.514648, 
150,   0.5, 
151, 0.484375, 
152, 0.46875, 
153, 0.453125, 
154, 0.4375, 
155, 0.421875, 
156, 0.40625, 
157, 0.390625, 
158, 0.374023, 
159, 0.357422, 
160, 0.341797, 
161, 0.325195, 
162, 0.308594, 
163, 0.291992, 
164, 0.275391, 
165, 0.258789, 
166, 0.241211, 
167, 0.224609, 
168, 0.207031, 
169, 0.19043, 
170, 0.172852, 
171, 0.15625, 
172, 0.138672, 
173, 0.121094, 
174, 0.104492, 
175, 0.0869141, 
176, 0.0693359, 
177, 0.0517578, 
178, 0.0341797, 
179, 0.0166016, 
180,     0, 
181, -0.0175781, 
182, -0.0351562, 
183, -0.0527344, 
184, -0.0703125, 
185, -0.0878906, 
186, -0.105469, 
187, -0.12207, 
188, -0.139648, 
189, -0.157227, 
190, -0.173828, 
191, -0.191406, 
192, -0.208008, 
193, -0.225586, 
194, -0.242188, 
195, -0.259766, 
196, -0.276367, 
197, -0.292969, 
198, -0.30957, 
199, -0.326172, 
200, -0.342773, 
201, -0.358398, 
202, -0.375, 
203, -0.391602, 
204, -0.407227, 
205, -0.422852, 
206, -0.438477, 
207, -0.454102, 
208, -0.469727, 
209, -0.485352, 
210,  -0.5, 
211, -0.515625, 
212, -0.530273, 
213, -0.544922, 
214, -0.55957, 
215, -0.574219, 
216, -0.587891, 
217, -0.602539, 
218, -0.616211, 
219, -0.629883, 
220, -0.643555, 
221, -0.65625, 
222, -0.669922, 
223, -0.682617, 
224, -0.695312, 
225, -0.708008, 
226, -0.719727, 
227, -0.731445, 
228, -0.743164, 
229, -0.754883, 
230, -0.766602, 
231, -0.777344, 
232, -0.788086, 
233, -0.798828, 
234, -0.80957, 
235, -0.819336, 
236, -0.829102, 
237, -0.838867, 
238, -0.848633, 
239, -0.857422, 
240, -0.866211, 
241, -0.875, 
242, -0.883789, 
243, -0.891602, 
244, -0.899414, 
245, -0.907227, 
246, -0.914062, 
247, -0.920898, 
248, -0.927734, 
249, -0.933594, 
250, -0.94043, 
251, -0.946289, 
252, -0.951172, 
253, -0.957031, 
254, -0.961914, 
255, -0.966797, 
256, -0.970703, 
257, -0.974609, 
258, -0.978516, 
259, -0.982422, 
260, -0.985352, 
261, -0.988281, 
262, -0.991211, 
263, -0.993164, 
264, -0.995117, 
265, -0.99707, 
266, -0.998047, 
267, -0.999023, 
268,    -1, 
269,    -1, 
